ID,FirstName,LastName,Age,Gender,Occupation,Rating,Purchases,Experience,Income,Salary,Bonus
8993,Michael,Jones,43.0,Male,Data Analyst,2.33036613218542,4,,37957.82965706904,24678.301635927382,4045.322468521175
2193,Michael,Martinez,53.0,Other,Data Analyst,2.0670522498738566,6,14.0,41720.614614442406,20474.99071314091,3050.257896022092
2198,Laura,Martinez,44.0,Male,Data Scientist,1.8936090798207963,3,17.0,37709.96533388193,23076.13121350324,1393.2569287613924
2065,Emma,Jones,24.0,Female,Artist,1.0,6,2.0,8393.574912947603,-3454.798898560277,29.6406907979121
7726,Emma,Jones,48.0,Male,Lawyer,3.284565149074284,4,17.0,50107.70943775604,26536.81851667326,2703.2349129602912
7879,James,Rodriguez,34.0,Other,Machine Learning Engineer,1.9208345233045403,3,20.0,,30505.82338858993,2510.7770437803138
9891,Laura,Davis,56.0,Male,Machine Learning Engineer,1.5811464187198845,2,9.0,42927.00903461489,15591.12521850578,1407.795091490611
9000,Michael,Williams,20.0,Other,Machine Learning Engineer,1.0,2,6.0,18389.85784784632,,
3944,James,Martinez,45.0,Other,Data Analyst,2.071721529943059,5,16.0,42074.593559420544,22246.17764274233,1931.307950165765
8406,Laura,Miller,41.0,Other,Data Analyst,1.0,0,2.0,25740.09097228015,5454.098740782554,313.71061543529345
3104,Michael,Davis,,Other,Data Scientist,2.7952880197941443,5,17.0,,27520.61696749641,2816.438641514242
2195,Laura,Brown,45.0,Female,Machine Learning Engineer,2.010897548464729,6,20.0,,28730.962499787685,3337.8940429995296
7688,Olivia,Garcia,40.0,Female,Machine Learning Engineer,1.899919193836682,3,6.0,22599.65435397063,8754.67663125697,901.3454320569545
7218,John,Jones,54.0,Male,Artist,2.331287458467138,7,12.0,37897.19951830212,14013.84721769444,1280.8946240960413
1513,Olivia,Davis,39.0,Female,Lawyer,2.834805655559708,2,13.0,45712.496410753214,19362.563586407723,2816.042198632997
3830,Jane,Jones,37.0,Male,Artist,1.0,7,4.0,18825.71128764441,8029.506396271179,353.6405991656339
4033,Sarah,Miller,43.0,Other,Data Scientist,1.9533187006615929,4,,22219.53381683233,7663.624356100129,923.3559415683536
6238,Sarah,Smith,53.0,Other,Data Scientist,1.0115710472390165,4,13.0,33622.75033800877,18525.34344753486,2189.350028588402
187,Olivia,Williams,36.0,Other,Artist,1.0,3,9.0,34501.16562156532,14340.298480697908,633.2919713182963
1019,Robert,Johnson,31.0,Other,Artist,2.916482053388984,5,17.0,52695.24807158457,25690.44713098493,1822.495941726118
3711,David,Williams,51.0,Female,Machine Learning Engineer,1.995290425331072,4,12.0,24771.52730237537,16615.85603150308,2196.700983812077
2497,Olivia,Martinez,42.0,Male,Artist,2.073485094960338,8,16.0,51893.78266491294,25977.721593788592,3680.525395168604
3896,James,Jones,57.0,Male,Data Analyst,1.0079602583384837,4,10.0,36312.07548497446,16595.673358164575,1194.2420898339842
1831,Emma,Rodriguez,51.0,Male,Lawyer,2.611224798580185,3,,44820.61277862068,,
858,Michael,Garcia,45.0,Female,Data Scientist,2.668834914482824,2,18.0,48368.7323700932,,
8668,Sarah,Brown,,Male,Data Analyst,1.9445169466566896,2,19.0,54346.433734276216,27675.825345448586,3396.970844432969
2890,Jane,Garcia,30.0,Other,Artist,3.4780013467338406,9,22.0,62012.88624559334,40543.695506168624,3264.2917095062826
3121,Robert,Williams,57.0,Female,Lawyer,1.7797929412527769,4,11.0,32413.41495379925,14777.015969855953,1094.6258320746986
2458,Olivia,Garcia,44.0,Male,Data Scientist,2.979676168683579,8,,40569.97980979866,21242.5511987797,2150.1214912552846
4454,Sarah,Martinez,38.0,Other,Machine Learning Engineer,3.030670638677578,7,23.0,45503.27875006485,27973.218999739023,2656.469815793537
9961,Michael,Garcia,34.0,Female,Machine Learning Engineer,2.994555149109124,2,15.0,47839.31232407587,19714.070492139905,2317.46600297614
6504,Robert,Martinez,48.0,Female,Artist,3.4826727693922024,8,22.0,61711.18245140464,33155.646262408714,4255.85373813767
9201,Olivia,Rodriguez,69.0,Other,Artist,3.141685991092243,5,20.0,51480.04080945482,30459.66189762671,2834.108591479468
2611,Jane,Smith,49.0,Female,Data Analyst,3.4597586885485856,5,,66315.23628925825,26037.541684016946,2535.4035617444465
6129,Sarah,Jones,34.0,Female,Data Analyst,1.0,5,8.0,29374.52714925164,4669.450324235877,13.492876118567835
5320,Laura,Davis,17.0,Female,Data Analyst,1.0,9,6.0,19549.36583815763,9981.71255983884,1361.5503940779504
7684,Olivia,Davis,31.0,Other,Lawyer,2.3063845099968168,5,27.0,,38717.9569208009,3973.02980851912
1923,John,Miller,,Female,Artist,2.288851267860476,9,16.0,38087.85005482031,25430.53495962896,1595.2134395086805
